model,source,feature_extraction_ms,inference_ms,total_ms
SVM (RBF),saved,11.179400025866926,1.259499927982688,12.438899953849614
SVM (RBF),saved,11.63800002541393,0.8974999655038118,12.535499990917742
SVM (RBF),saved,14.7921999450773,1.3275000965222716,16.11970004159957
SVM (RBF),saved,13.031400041654706,1.173199969343841,14.204600010998547
SVM (RBF),saved,11.764899943955243,0.98840007558465,12.753300019539893
SVM (RBF),saved,11.878100107423961,1.7553999787196517,13.633500086143613
SVM (RBF),saved,12.704099994152784,1.070300000719726,13.77439999487251
SVM (RBF),saved,12.211599969305098,0.9783999994397163,13.189999968744814
SVM (RBF),saved,11.993699939921498,1.1054000351577997,13.099099975079298
SVM (RBF),saved,11.546600027941167,0.9330000029876828,12.47960003092885
SVM (RBF),saved,11.28540001809597,0.972700072452426,12.258100090548396
SVM (RBF),saved,11.531100026331842,0.9564000647515059,12.487500091083348
SVM (RBF),saved,11.696100002154708,0.9943000040948391,12.690400006249547
SVM (RBF),saved,11.658600065857172,0.9620999917387962,12.620700057595968
SVM (RBF),saved,11.607800028286874,0.9850000496953726,12.592800077982247
SVM (RBF),saved,11.997200082987547,0.9352000197395682,12.932400102727115
SVM (RBF),saved,11.200000066310167,1.0102000087499619,12.21020007506013
SVM (RBF),saved,11.17429998703301,0.946100102737546,12.120400089770555
SVM (RBF),saved,11.698200018145144,1.0952000739052892,12.793400092050433
SVM (RBF),saved,10.804700083099306,0.9439999703317881,11.748700053431094
SVM (RBF),saved,11.641799937933683,1.0646000737324357,12.706400011666119
SVM (RBF),saved,10.789400083012879,0.9130999678745866,11.702500050887465
SVM (RBF),saved,10.993700008839369,1.3717999681830406,12.36549997702241
SVM (RBF),saved,12.309199897572398,1.113200094550848,13.422399992123246
SVM (RBF),saved,14.095599995926023,1.2073999969288707,15.302999992854893
SVM (RBF),saved,12.67359999474138,0.9798000101000071,13.653400004841387
SVM (RBF),saved,11.168699944391847,0.9468999924138188,12.115599936805665
SVM (RBF),saved,11.194800026714802,1.079099951311946,12.273899978026748
SVM (RBF),saved,12.121099978685379,0.9048000210896134,13.025899999774992
SVM (RBF),saved,14.567499980330467,1.0987999849021435,15.66629996523261
SVM (RBF),saved,12.010999955236912,1.6415000427514315,13.652499997988343
SVM (RBF),saved,10.88690001051873,1.9632000476121902,12.85010005813092
SVM (RBF),saved,12.234599911607802,0.9696000488474965,13.204199960455298
SVM (RBF),saved,10.54459996521473,0.9685000404715538,11.513100005686283
SVM (RBF),saved,12.320000096224248,0.9892999660223722,13.30930006224662
SVM (RBF),saved,10.82889991812408,0.9483000030741096,11.77719992119819
SVM (RBF),saved,12.145500048063695,1.0023999493569136,13.147899997420609
SVM (RBF),saved,10.795500013045967,0.9599999757483602,11.755499988794327
SVM (RBF),saved,12.94909999705851,1.0002999333664775,13.949399930424988
SVM (RBF),saved,11.231600074097514,1.1789998970925808,12.410599971190095
SVM (RBF),saved,11.456700041890144,0.9564999490976334,12.413199990987778
SVM (RBF),saved,10.354500031098723,0.9949000086635351,11.349400039762259
SVM (RBF),saved,12.167000095359981,1.3548999559134245,13.521900051273406
SVM (RBF),saved,10.57869999203831,1.0154999326914549,11.594199924729764
SVM (RBF),saved,14.146300032734871,1.0460999328643084,15.19239996559918
SVM (RBF),saved,13.539400068111718,1.295899972319603,14.83530004043132
SVM (RBF),saved,10.434700059704483,0.8945999434217811,11.329300003126264
SVM (RBF),saved,14.759500045329332,1.3275999808683991,16.08710002619773
SVM (RBF),saved,14.375299913808703,1.0290000354871154,15.404299949295819
SVM (RBF),saved,10.669199982658029,1.3426999794319272,12.011899962089956
SVM (RBF),saved,11.732799932360649,0.9690000442788005,12.70179997663945
SVM (RBF),saved,14.548699953593314,1.415999955497682,15.964699909090996
SVM (RBF),saved,11.140799964778125,2.3040000814944506,13.444800046272576
SVM (RBF),saved,11.117200017906725,0.9648000122979283,12.082000030204654
SVM (RBF),saved,10.287599987350404,0.9115999564528465,11.19919994380325
SVM (RBF),saved,11.351499939337373,0.9907000930979848,12.342200032435358
SVM (RBF),saved,10.447500040754676,0.990999978967011,11.438500019721687
SVM (RBF),saved,11.048799962736666,1.0470000561326742,12.09580001886934
SVM (RBF),saved,11.611799942329526,0.9379000402987003,12.549699982628226
SVM (RBF),saved,12.486099964007735,0.977699994109571,13.463799958117306
